Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Llanowar Wastes (Borderless),Llanowar Wastes,The Brothers' War,299,BRO,Foil,Near Mint,English,Rare,451913,6673942
1,"Megatron, Tyrant","Megatron, Tyrant",Universes Beyond: Transformers,12,BOT,Normal,Near Mint,English,Mythic,448842,6647113
1,Well of Lost Dreams (Schematic),Well of Lost Dreams,The Brothers' War: Retro Frame Artifacts,125,BRR,Normal,Near Mint,English,Rare,452483,6702471
1,Wondrous Crucible,Wondrous Crucible,Commander: The Brothers' War,20,,Normal,Near Mint,English,Rare,452104,6682618
1,Thran Spider,Thran Spider,The Brothers' War,254,BRO,Normal,Near Mint,English,Rare,451949,6676577
1,Wurmcoil Engine (Schematic),Wurmcoil Engine,The Brothers' War: Retro Frame Artifacts,126,BRR,Normal,Near Mint,English,Mythic,448818,6646888
1,Millstone (Schematic),Millstone,The Brothers' War: Retro Frame Artifacts,95,BRR,Normal,Near Mint,English,Uncommon,452498,6703136
1,Unwinding Clock,Unwinding Clock,The Brothers' War: Retro Frame Artifacts,61,BRR,Normal,Near Mint,English,Rare,451976,6678402
1,"Blitzwing, Cruel Tormentor","Blitzwing, Cruel Tormentor",Universes Beyond: Transformers,4,BOT,Normal,Near Mint,English,Mythic,448832,6647023
1,Hall of Tagsin (Extended Art),Hall of Tagsin,The Brothers' War,371,BRO,Normal,Near Mint,English,Rare,452277,6690193
1,Blast-Furnace Hellkite (Extended Art),Blast-Furnace Hellkite,Commander: The Brothers' War,59,,Normal,Near Mint,English,Rare,452478,6702341
1,Clay Champion (Extended Art),Clay Champion,The Brothers' War,362,BRO,Normal,Near Mint,English,Mythic,452296,6691123
1,Siege Veteran,Siege Veteran,The Brothers' War,25,BRO,Normal,Near Mint,English,Rare,452308,6691673
1,"Slicer, Hired Muscle","Slicer, Hired Muscle",Universes Beyond: Transformers,6,BOT,Normal,Near Mint,English,Mythic,448834,6647043
1,Kayla's Music Box (Extended Art),Kayla's Music Box,Commander: The Brothers' War,62,,Normal,Near Mint,English,Rare,452492,6702981
1,Ichor Wellspring (Schematic),Ichor Wellspring,The Brothers' War: Retro Frame Artifacts,84,BRR,Normal,Near Mint,English,Uncommon,452457,6701571
1,Key to the City,Key to the City,The Brothers' War: Retro Frame Artifacts,27,BRR,Normal,Near Mint,English,Rare,452412,6698411
1,Ornithopter,Ornithopter,The Brothers' War: Retro Frame Artifacts,37,BRR,Normal,Near Mint,English,Uncommon,451911,6673857
1,Adaptive Automaton (Schematic),Adaptive Automaton,The Brothers' War: Retro Frame Artifacts,64,BRR,Normal,Near Mint,English,Rare,452435,6700251
1,"Ultra Magnus, Tactician","Ultra Magnus, Tactician",Universes Beyond: Transformers,15,BOT,Normal,Near Mint,English,Mythic,448854,6647218
1,Fortified Beachhead (Extended Art),Fortified Beachhead,The Brothers' War,370,BRO,Normal,Near Mint,English,Rare,452278,6690243
1,Disciple of Caelus Nin,Disciple of Caelus Nin,Commander: The Brothers' War,21,,Normal,Near Mint,English,Rare,453078,6713645
1,Rescue Retriever (Extended Art),Rescue Retriever,The Brothers' War,373,BRO,Normal,Near Mint,English,Rare,453096,6714925
1,Fade from History (Extended Art),Fade from History,The Brothers' War,345,BRO,Normal,Near Mint,English,Rare,452298,6691203
1,Door to Nothingness (Schematic),Door to Nothingness,The Brothers' War: Retro Frame Artifacts,77,BRR,Normal,Near Mint,English,Rare,452449,6701091
1,"Cyclonus, the Saboteur (Shattered Glass)","Cyclonus, the Saboteur",Universes Beyond: Transformers,23,BOT,Normal,Near Mint,English,Mythic,448865,6678633
1,Bone Saw,Bone Saw,The Brothers' War: Retro Frame Artifacts,7,BRR,Normal,Near Mint,English,Uncommon,452382,6694205
1,"Tawnos, Solemn Survivor (Extended Art)","Tawnos, Solemn Survivor",Commander: The Brothers' War,42,,Normal,Near Mint,English,Mythic,453105,6715585
1,Urza's Sylex (Extended Art),Urza's Sylex,The Brothers' War,312,BRO,Normal,Near Mint,English,Mythic,452323,6692423
1,Springleaf Drum,Springleaf Drum,The Brothers' War: Retro Frame Artifacts,55,BRR,Normal,Near Mint,English,Uncommon,452431,6699931
1,Psychosis Crawler (Schematic),Psychosis Crawler,The Brothers' War: Retro Frame Artifacts,107,BRR,Normal,Near Mint,English,Rare,452517,6703931
1,Artificer's Dragon (Extended Art),Artificer's Dragon,The Brothers' War,376,BRO,Normal,Near Mint,English,Rare,453211,6719860
1,"Prowl, Stoic Strategist","Prowl, Stoic Strategist",Universes Beyond: Transformers,1,BOT,Normal,Near Mint,English,Mythic,448829,6646993
1,Gilded Lotus,Gilded Lotus,The Brothers' War: Retro Frame Artifacts,17,BRR,Normal,Near Mint,English,Rare,452408,6698091
1,March of Progress (Extended Art),March of Progress,Commander: The Brothers' War,55,,Normal,Near Mint,English,Rare,452469,6702231
1,Painful Quandary (Extended Art),Painful Quandary,The Brothers' War,331,BRO,Normal,Near Mint,English,Rare,451985,6679263
1,"Starscream, Power Hungry","Starscream, Power Hungry",Universes Beyond: Transformers,5,BOT,Normal,Near Mint,English,Mythic,448833,6647033
1,Semblance Anvil (Schematic),Semblance Anvil,The Brothers' War: Retro Frame Artifacts,115,BRR,Normal,Near Mint,English,Rare,452524,6704191
1,Ivory Tower,Ivory Tower,The Brothers' War: Retro Frame Artifacts,23,BRR,Normal,Near Mint,English,Uncommon,448821,6646918
1,Sigil of Valor,Sigil of Valor,The Brothers' War: Retro Frame Artifacts,53,BRR,Normal,Near Mint,English,Uncommon,452429,6699771
1,Glint Raker (Extended Art),Glint Raker,Commander: The Brothers' War,54,,Normal,Near Mint,English,Rare,452201,6686308
1,Kayla's Reconstruction (Extended Art),Kayla's Reconstruction,The Brothers' War,303,BRO,Normal,Near Mint,English,Rare,452318,6692193
1,Foundry Inspector (Schematic),Foundry Inspector,The Brothers' War: Retro Frame Artifacts,79,BRR,Normal,Near Mint,English,Uncommon,452453,6701331
1,Lodestone Golem,Lodestone Golem,The Brothers' War: Retro Frame Artifacts,29,BRR,Normal,Near Mint,English,Rare,448826,6646968
1,"Soundwave, Sonic Spy","Soundwave, Sonic Spy",Universes Beyond: Transformers,14,BOT,Normal,Near Mint,English,Mythic,448847,6647153
1,The Temporal Anchor (Extended Art),The Temporal Anchor,The Brothers' War,321,BRO,Normal,Near Mint,English,Rare,452328,6692643
1,Woodcaller Automaton (Extended Art),Woodcaller Automaton,The Brothers' War,377,BRO,Normal,Near Mint,English,Rare,453155,6718950
1,Elsewhere Flask,Elsewhere Flask,The Brothers' War: Retro Frame Artifacts,15,BRR,Normal,Near Mint,English,Uncommon,452406,6697931
1,"Optimus Prime, Hero (Shattered Glass)","Optimus Prime, Hero",Universes Beyond: Transformers,27,BOT,Normal,Near Mint,English,Mythic,448869,6679008
1,Terisian Mindbreaker (Extended Art),Terisian Mindbreaker,The Brothers' War,322,BRO,Normal,Near Mint,English,Rare,452399,6697726
1,Thopter Shop (Extended Art),Thopter Shop,Commander: The Brothers' War,66,,Normal,Near Mint,English,Rare,452497,6703106
1,Burnished Hart (Schematic),Burnished Hart,The Brothers' War: Retro Frame Artifacts,71,BRR,Normal,Near Mint,English,Uncommon,452443,6700731
1,Semblance Anvil,Semblance Anvil,The Brothers' War: Retro Frame Artifacts,52,BRR,Normal,Near Mint,English,Rare,452428,6699691
1,Misery's Shadow (Extended Art),Misery's Shadow,The Brothers' War,330,BRO,Normal,Near Mint,English,Rare,452795,6708602
1,Scavenged Brawler (Extended Art),Scavenged Brawler,Commander: The Brothers' War,64,,Normal,Near Mint,English,Rare,452494,6703041
1,Bone Saw (Schematic),Bone Saw,The Brothers' War: Retro Frame Artifacts,70,BRR,Normal,Near Mint,English,Uncommon,452441,6700611
1,Phyrexian Processor,Phyrexian Processor,The Brothers' War: Retro Frame Artifacts,39,BRR,Normal,Near Mint,English,Mythic,451901,6673457
1,"Jetfire, Ingenious Scientist","Jetfire, Ingenious Scientist",Universes Beyond: Transformers,3,BOT,Normal,Near Mint,English,Mythic,448831,6647013
1,Elsewhere Flask (Schematic),Elsewhere Flask,The Brothers' War: Retro Frame Artifacts,78,BRR,Foil,Near Mint,English,Uncommon,452451,6701216
1,Kayla's Reconstruction (Extended Art),Kayla's Reconstruction,The Brothers' War,303,BRO,Foil,Near Mint,English,Rare,452318,6692198
1,Rust Goliath,Rust Goliath,The Brothers' War,204,BRO,Foil,Near Mint,English,Common,451957,6677382
1,Mishra's Juggernaut,Mishra's Juggernaut,The Brothers' War,161,BRO,Foil,Near Mint,English,Common,451933,6675302
1,Clay Revenant,Clay Revenant,The Brothers' War,118,BRO,Foil,Near Mint,English,Common,451931,6675142
1,Bitter Reunion,Bitter Reunion,The Brothers' War,127,BRO,Foil,Near Mint,English,Common,451942,6676022
1,Mishra's Bauble (Schematic),Mishra's Bauble,The Brothers' War: Retro Frame Artifacts,97,BRR,Foil,Near Mint,English,Uncommon,451926,6697201
1,Cityscape Leveler (Extended Art),Cityscape Leveler,The Brothers' War,363,BRO,Foil,Near Mint,English,Mythic,453124,6716925
1,Powerstone Fracture,Powerstone Fracture,The Brothers' War,112,BRO,Foil,Near Mint,English,Common,452141,6683963
1,Machine Over Matter,Machine Over Matter,The Brothers' War,57,BRO,Foil,Near Mint,English,Common,452639,6706156
1,Blitz Automaton,Blitz Automaton,The Brothers' War,158,BRO,Foil,Near Mint,English,Common,453230,6720115
1,Boulderbranch Golem,Boulderbranch Golem,The Brothers' War,197,BRO,Foil,Near Mint,English,Common,453138,6717825
1,Levitating Statue,Levitating Statue,The Brothers' War,236,BRO,Foil,Near Mint,English,Uncommon,452663,6706876
1,Repair and Recharge,Repair and Recharge,The Brothers' War,24,BRO,Foil,Near Mint,English,Uncommon,452068,6680968
1,Brotherhood's End,Brotherhood's End,The Brothers' War,128,BRO,Foil,Near Mint,English,Rare,452265,6689638
1,Go for the Throat,Go for the Throat,The Brothers' War,102,BRO,Foil,Near Mint,English,Uncommon,451938,6675702
1,Swamp (283) - Full Art,Swamp,The Brothers' War,283,BRO,Foil,Near Mint,English,Land,448400,6640600
1,Gixian Infiltrator,Gixian Infiltrator,The Brothers' War,98,BRO,Foil,Near Mint,English,Common,453104,6715510
1,Perimeter Patrol,Perimeter Patrol,The Brothers' War,188,BRO,Foil,Near Mint,English,Common,453022,6712180
1,Tomakul Honor Guard,Tomakul Honor Guard,The Brothers' War,195,BRO,Foil,Near Mint,English,Common,453140,6717985
1,Ambush Paratrooper,Ambush Paratrooper,The Brothers' War,3,BRO,Foil,Near Mint,English,Common,452742,6707827
1,Symmetry Matrix,Symmetry Matrix,The Brothers' War,252,BRO,Foil,Near Mint,English,Uncommon,452831,6709615
1,"Feldon, Ronom Excavator","Feldon, Ronom Excavator",The Brothers' War,135,BRO,Foil,Near Mint,English,Rare,451862,6672074
1,"Harbin, Vanguard Aviator","Harbin, Vanguard Aviator",The Brothers' War,212,BRO,Foil,Near Mint,English,Rare,451950,6676662
1,Ivory Tower,Ivory Tower,The Brothers' War: Retro Frame Artifacts,23,BRR,Foil,Near Mint,English,Uncommon,448821,6646923
1,Jalum Tome (Schematic),Jalum Tome,The Brothers' War: Retro Frame Artifacts,87,BRR,Foil,Near Mint,English,Uncommon,448824,6646953
1,Gixian Puppeteer,Gixian Puppeteer,The Brothers' War,99,BRO,Foil,Near Mint,English,Rare,452361,6693888
1,Great Desert Prospector,Great Desert Prospector,The Brothers' War,7,BRO,Foil,Near Mint,English,Uncommon,452746,6707942
1,Bushwhack,Bushwhack,The Brothers' War,174,BRO,Foil,Near Mint,English,Uncommon,453146,6718405
