Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Racers' Ring,Racers' Ring,Streets of New Capenna,253,SNC,Normal,Near Mint,English,Common,268320,5486723
1,Goldhound,Goldhound,Streets of New Capenna,108,SNC,Normal,Near Mint,English,Common,269068,5522413
1,Chrome Cat,Chrome Cat,Streets of New Capenna,236,SNC,Normal,Near Mint,English,Common,268364,5489056
2,Involuntary Employment,Involuntary Employment,Streets of New Capenna,110,SNC,Normal,Near Mint,English,Uncommon,268842,5513617
2,Rob the Archives,Rob the Archives,Streets of New Capenna,122,SNC,Normal,Near Mint,English,Uncommon,268499,5495797
2,Nimble Larcenist,Nimble Larcenist,Streets of New Capenna,205,SNC,Normal,Near Mint,English,Uncommon,268430,5493154
3,Shattered Seraph (Showcase),Shattered Seraph,Streets of New Capenna,333,SNC,Normal,Near Mint,English,Common,268826,5511857
2,"Rocco, Cabaretti Caterer (Showcase)","Rocco, Cabaretti Caterer",Streets of New Capenna,332,SNC,Normal,Near Mint,English,Uncommon,268951,5518267
1,"Vazi, Keen Negotiator","Vazi, Keen Negotiator",Commander: Streets of New Capenna,92,NCC,Normal,Near Mint,English,Rare,269116,5527583
1,Tenacious Underdog,Tenacious Underdog,Streets of New Capenna,97,SNC,Normal,Near Mint,English,Rare,268942,5517427
2,Raffine's Guidance,Raffine's Guidance,Streets of New Capenna,25,SNC,Normal,Near Mint,English,Common,268681,5503503
1,Psionic Snoop,Psionic Snoop,Streets of New Capenna,53,SNC,Normal,Near Mint,English,Common,268771,5507412
2,Celestial Regulator,Celestial Regulator,Streets of New Capenna,174,SNC,Normal,Near Mint,English,Common,268798,5509962
1,Skybridge Towers,Skybridge Towers,Streets of New Capenna,256,SNC,Normal,Near Mint,English,Common,268321,5486833
1,Sky Crier,Sky Crier,Streets of New Capenna,31,SNC,Normal,Near Mint,English,Common,269120,5527713
2,Pugnacious Pugilist,Pugnacious Pugilist,Streets of New Capenna,117,SNC,Normal,Near Mint,English,Uncommon,269078,5523513
2,Pyre-Sledge Arsonist,Pyre-Sledge Arsonist,Streets of New Capenna,118,SNC,Normal,Near Mint,English,Uncommon,268666,5502448
2,Glittering Stockpile,Glittering Stockpile,Streets of New Capenna,107,SNC,Normal,Near Mint,English,Uncommon,268838,5513177
2,Racers' Ring (Showcase),Racers' Ring,Streets of New Capenna,352,SNC,Normal,Near Mint,English,Common,268395,5490124
2,"Mr. Orfeo, the Boulder (Showcase)","Mr. Orfeo, the Boulder",Streets of New Capenna,320,SNC,Normal,Near Mint,English,Uncommon,268834,5512737
1,Workshop Warchief,Workshop Warchief,Promo Pack: Streets of New Capenna,165,PPSNC,Normal,Near Mint,English,Rare,270043,5569263
5,Spara's Adjudicators (Showcase),Spara's Adjudicators,Streets of New Capenna,335,SNC,Normal,Near Mint,English,Common,269005,5519913
1,Case the Joint,Case the Joint,Streets of New Capenna,37,SNC,Normal,Near Mint,English,Common,269056,5520763
1,Crooked Custodian,Crooked Custodian,Streets of New Capenna,71,SNC,Normal,Near Mint,English,Common,269074,5523073
1,Cutthroat Contender,Cutthroat Contender,Streets of New Capenna,73,SNC,Normal,Near Mint,English,Common,269075,5523183
1,Quick-Draw Dagger,Quick-Draw Dagger,Streets of New Capenna,243,SNC,Normal,Near Mint,English,Common,269102,5526153
1,Scuttling Butler,Scuttling Butler,Streets of New Capenna,244,SNC,Normal,Near Mint,English,Uncommon,269105,5526483
1,"Lagrella, the Magpie","Lagrella, the Magpie",Streets of New Capenna,196,SNC,Normal,Near Mint,English,Uncommon,269086,5524393
1,Dusk Mangler,Dusk Mangler,Streets of New Capenna,77,SNC,Normal,Near Mint,English,Uncommon,268779,5508082
2,Maestros Charm (Showcase),Maestros Charm,Streets of New Capenna,317,SNC,Normal,Near Mint,English,Uncommon,267622,5481327
1,Cemetery Tampering,Cemetery Tampering,Streets of New Capenna,69,SNC,Normal,Near Mint,English,Rare,268565,5498781
2,Most Wanted,Most Wanted,Streets of New Capenna,153,SNC,Normal,Near Mint,English,Common,269111,5527143
1,Extract the Truth,Extract the Truth,Streets of New Capenna,78,SNC,Normal,Near Mint,English,Common,269079,5523623
1,Glamorous Outlaw,Glamorous Outlaw,Streets of New Capenna,190,SNC,Normal,Near Mint,English,Common,269085,5524283
1,Shattered Seraph,Shattered Seraph,Streets of New Capenna,221,SNC,Normal,Near Mint,English,Common,268808,5510747
1,Luxurious Libation,Luxurious Libation,Streets of New Capenna,152,SNC,Normal,Near Mint,English,Uncommon,268506,5496497
1,"Rocco, Cabaretti Caterer","Rocco, Cabaretti Caterer",Streets of New Capenna,218,SNC,Normal,Near Mint,English,Uncommon,268806,5510527
1,Freelance Muscle,Freelance Muscle,Streets of New Capenna,147,SNC,Normal,Near Mint,English,Uncommon,268793,5509412
1,Brokers Charm (Showcase),Brokers Charm,Streets of New Capenna,298,SNC,Normal,Near Mint,English,Uncommon,268254,5485914
1,"Lagrella, the Magpie (Showcase)","Lagrella, the Magpie",Streets of New Capenna,314,SNC,Normal,Near Mint,English,Uncommon,269004,5519803
1,Ziatora's Proving Ground,Ziatora's Proving Ground,Promo Pack: Streets of New Capenna,261,PPSNC,Normal,Near Mint,English,Rare,270011,5566263
1,"Othelm, Sigardian Outcast","Othelm, Sigardian Outcast",SLX Cards,6,SLX,Normal,Near Mint,English,Rare,268619,5500516
1,Incriminate,Incriminate,Streets of New Capenna,84,SNC,Normal,Near Mint,English,Common,268318,5486503
1,Cabaretti Initiate,Cabaretti Initiate,Streets of New Capenna,137,SNC,Normal,Near Mint,English,Common,268791,5509192
1,Riveteers Initiate,Riveteers Initiate,Streets of New Capenna,120,SNC,Normal,Near Mint,English,Common,268840,5513397
1,Riveteers Overlook,Riveteers Overlook,Streets of New Capenna,255,SNC,Normal,Near Mint,English,Common,269108,5526813
1,Ceremonial Groundbreaker,Ceremonial Groundbreaker,Streets of New Capenna,175,SNC,Normal,Near Mint,English,Uncommon,268663,5502118
1,Take to the Streets,Take to the Streets,Streets of New Capenna,158,SNC,Normal,Near Mint,English,Uncommon,269097,5525603
1,Voice of the Vermin,Voice of the Vermin,Streets of New Capenna,163,SNC,Normal,Near Mint,English,Uncommon,269094,5525273
2,Sizzling Soloist,Sizzling Soloist,Streets of New Capenna,123,SNC,Normal,Near Mint,English,Uncommon,268789,5508972
3,Masked Bandits (Showcase),Masked Bandits,Streets of New Capenna,319,SNC,Normal,Near Mint,English,Common,268948,5518027
1,Hostile Takeover,Hostile Takeover,Streets of New Capenna,191,SNC,Normal,Near Mint,English,Rare,268657,5501776
1,Fake Your Own Death,Fake Your Own Death,Streets of New Capenna,79,SNC,Normal,Near Mint,English,Common,269082,5523953
1,Mayhem Patrol,Mayhem Patrol,Streets of New Capenna,114,SNC,Normal,Near Mint,English,Common,268832,5512517
1,Ready to Rumble,Ready to Rumble,Streets of New Capenna,119,SNC,Normal,Near Mint,English,Common,269080,5523733
1,Body Dropper,Body Dropper,Streets of New Capenna,168,SNC,Normal,Near Mint,English,Common,268796,5509742
1,Courier's Briefcase,Courier's Briefcase,Streets of New Capenna,142,SNC,Normal,Near Mint,English,Uncommon,268332,5487390
