Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
3,Mishra's Juggernaut,Mishra's Juggernaut,The Brothers' War,161,BRO,Normal,Near Mint,English,Common,451933,6675297
2,Veteran's Powerblade,Veteran's Powerblade,The Brothers' War,41,BRO,Normal,Near Mint,English,Common,453032,6712975
2,Prison Sentence,Prison Sentence,The Brothers' War,21,BRO,Normal,Near Mint,English,Common,453077,6713565
1,"Tawnos, the Toymaker (Extended Art)","Tawnos, the Toymaker",The Brothers' War,359,BRO,Normal,Near Mint,English,Rare,452292,6690913
1,Arbalest Engineers,Arbalest Engineers,The Brothers' War,206,BRO,Normal,Near Mint,English,Uncommon,452395,6694966
1,"Hajar, Loyal Bodyguard","Hajar, Loyal Bodyguard",The Brothers' War,211,BRO,Normal,Near Mint,English,Rare,452223,6687273
2,Gixian Infiltrator,Gixian Infiltrator,The Brothers' War,98,BRO,Normal,Near Mint,English,Common,453104,6715505
3,Thraxodemon,Thraxodemon,The Brothers' War,115,BRO,Normal,Near Mint,English,Common,453013,6711455
2,Disfigure,Disfigure,The Brothers' War,91,BRO,Normal,Near Mint,English,Common,451960,6677597
2,Moment of Defiance,Moment of Defiance,The Brothers' War,108,BRO,Normal,Near Mint,English,Common,453128,6717190
2,Kill-Zone Acrobat,Kill-Zone Acrobat,The Brothers' War,106,BRO,Normal,Near Mint,English,Common,453011,6711295
2,Battlefield Butcher,Battlefield Butcher,The Brothers' War,86,BRO,Normal,Near Mint,English,Uncommon,452310,6691803
4,Machine Over Matter,Machine Over Matter,The Brothers' War,57,BRO,Normal,Near Mint,English,Common,452639,6706151
1,Curate,Curate,The Brothers' War,44,BRO,Normal,Near Mint,English,Common,453095,6714845
2,Koilos Roc,Koilos Roc,The Brothers' War,55,BRO,Normal,Near Mint,English,Common,453024,6712335
3,Desynchronize,Desynchronize,The Brothers' War,46,BRO,Normal,Near Mint,English,Common,453091,6714555
3,Weakstone's Subjugation,Weakstone's Subjugation,The Brothers' War,72,BRO,Normal,Near Mint,English,Common,453025,6712415
2,Fallaji Archaeologist,Fallaji Archaeologist,The Brothers' War,48,BRO,Normal,Near Mint,English,Common,452078,6681453
2,Stern Lesson,Stern Lesson,The Brothers' War,64,BRO,Normal,Near Mint,English,Common,451935,6675457
1,Goblin Blast-Runner,Goblin Blast-Runner,The Brothers' War,137,BRO,Normal,Near Mint,English,Common,452533,6704691
2,"Mishra, Excavation Prodigy","Mishra, Excavation Prodigy",The Brothers' War,140,BRO,Normal,Near Mint,English,Uncommon,451445,6668316
2,Tomakul Scrapsmith,Tomakul Scrapsmith,The Brothers' War,153,BRO,Normal,Near Mint,English,Common,453119,6716550
2,Dwarven Forge-Chanter,Dwarven Forge-Chanter,The Brothers' War,131,BRO,Normal,Near Mint,English,Common,453103,6715425
1,Sardian Cliffstomper,Sardian Cliffstomper,The Brothers' War,151,BRO,Normal,Near Mint,English,Uncommon,452393,6694806
1,Whirling Strike,Whirling Strike,The Brothers' War,157,BRO,Normal,Near Mint,English,Common,453016,6711695
2,Unleash Shell,Unleash Shell,The Brothers' War,155,BRO,Normal,Near Mint,English,Common,453020,6712015
3,Penregon Strongbull,Penregon Strongbull,The Brothers' War,147,BRO,Normal,Near Mint,English,Common,453111,6715965
2,Mishra's Domination,Mishra's Domination,The Brothers' War,142,BRO,Normal,Near Mint,English,Common,452183,6685373
2,Emergency Weld,Emergency Weld,The Brothers' War,93,BRO,Normal,Near Mint,English,Common,453097,6714975
2,Evangel of Synthesis,Evangel of Synthesis,The Brothers' War,209,BRO,Normal,Near Mint,English,Uncommon,452543,6705116
2,Argothian Opportunist,Argothian Opportunist,The Brothers' War,167,BRO,Normal,Near Mint,English,Common,451939,6675777
2,Epic Confrontation,Epic Confrontation,The Brothers' War,176,BRO,Normal,Near Mint,English,Common,452199,6686203
1,Shoot Down,Shoot Down,The Brothers' War,190,BRO,Normal,Near Mint,English,Common,453023,6712255
2,Burrowing Razormaw,Burrowing Razormaw,The Brothers' War,173,BRO,Normal,Near Mint,English,Common,453147,6718480
1,Gaea's Courser,Gaea's Courser,The Brothers' War,181,BRO,Normal,Near Mint,English,Uncommon,451943,6676097
2,Tawnos's Tinkering,Tawnos's Tinkering,The Brothers' War,191,BRO,Normal,Near Mint,English,Common,452216,6686963
2,Powerstone Engineer,Powerstone Engineer,The Brothers' War,20,BRO,Normal,Near Mint,English,Common,452777,6708362
1,Calamity's Wake,Calamity's Wake,The Brothers' War,4,BRO,Normal,Near Mint,English,Uncommon,452062,6680583
4,Citanul Stalwart,Citanul Stalwart,The Brothers' War,175,BRO,Normal,Near Mint,English,Common,453143,6718220
1,Survivor of Korlis,Survivor of Korlis,The Brothers' War,28,BRO,Normal,Near Mint,English,Common,452072,6681163
4,Warlord's Elite,Warlord's Elite,The Brothers' War,32,BRO,Normal,Near Mint,English,Common,453031,6712895
2,Perimeter Patrol,Perimeter Patrol,The Brothers' War,188,BRO,Normal,Near Mint,English,Common,453022,6712175
3,Fog of War,Fog of War,The Brothers' War,180,BRO,Normal,Near Mint,English,Common,452205,6686483
1,Teething Wurmlet (Extended Art),Teething Wurmlet,The Brothers' War,348,BRO,Normal,Near Mint,English,Rare,453153,6718850
1,Blanchwood Armor,Blanchwood Armor,The Brothers' War,171,BRO,Normal,Near Mint,English,Uncommon,452394,6694886
1,Audacity,Audacity,The Brothers' War,169,BRO,Normal,Near Mint,English,Uncommon,452264,6689553
1,Supply Drop,Supply Drop,The Brothers' War,250,BRO,Normal,Near Mint,English,Common,453118,6716470
2,Tower Worker,Tower Worker,The Brothers' War,255,BRO,Normal,Near Mint,English,Common,453123,6716840
3,Power Plant Worker,Power Plant Worker,The Brothers' War,241,BRO,Normal,Near Mint,English,Common,452531,6704531
2,Swiftgear Drake,Swiftgear Drake,The Brothers' War,251,BRO,Normal,Near Mint,English,Common,453121,6716710
2,Heavyweight Demolisher,Heavyweight Demolisher,The Brothers' War,160,BRO,Normal,Near Mint,English,Uncommon,451961,6677677
1,Depth Charge Colossus,Depth Charge Colossus,The Brothers' War,78,BRO,Normal,Near Mint,English,Common,451956,6677297
2,Scatter Ray,Scatter Ray,The Brothers' War,61,BRO,Normal,Near Mint,English,Common,453084,6714065
3,Combat Courier,Combat Courier,The Brothers' War,77,BRO,Normal,Near Mint,English,Common,453026,6712495
2,Pristine Talisman,Pristine Talisman,The Brothers' War: Retro Frame Artifacts,43,BRR,Normal,Near Mint,English,Uncommon,452420,6699051
