Quantity,Name,Scryfall ID,Printing
1,Unwinding Clock,2cb86d65-15c3-4169-9716-c8394ede4f65,Normal
1,Plains,5665190e-ea2a-498e-9c4f-f0bc514bd80c,Normal
2,Plains,5d918248-85ff-4fea-ac91-aa5466dd2829,Normal
1,Go for the Throat,94117b09-d852-4f2e-be8e-68ee0ee3c3d8,Normal
1,Evolving Wilds,238de888-b1bd-4cce-9aa2-d0dd69ae7f0d,Normal
3,Swamp,418335b2-398f-499e-92ad-8d21a5a5b69f,Normal
1,Goring Warplow,9d927dfd-ae66-4235-a61b-39c85d0c1222,Normal
2,Dredging Claw,c8e133a2-631f-43f6-9fdd-e542d4d15e10,Normal
1,Thopter Architect,61017325-cec0-46ac-aa32-5855e5904888,Normal
1,Swamp,26142ae3-5aa1-4b9b-989a-21c0e4e5089d,Normal
1,Springleaf Drum,b52af7e0-cd75-4e8e-82ed-65f8a3d0380a,Normal
2,Swamp,95a58ce4-e07f-4c9c-98ae-3173d6d63cc5,Normal
1,Scrapwork Cohort,91b0f17e-603a-4840-b2c3-381ec6f102f3,Normal
1,Bone Saw,5d74a0f3-3db4-444c-a879-f3f3db2e27a0,Normal
1,Plains,9591fd15-78d9-4089-a075-031ab2affd2d,Normal
1,Military Discipline,94778e17-87c4-4765-b2f0-40455069f2c4,Normal
1,Plains,5a8279b9-c1dd-43db-a01b-89567bb43374,Normal
1,Ornithopter,051386e0-4c1c-48ed-8883-664c719cf0fe,Normal
1,Mishra's Bauble,b02452bb-a049-4e86-ba2c-135803caa03d,Normal
1,Plains,0a143c32-d78b-40ee-8d2b-a8ce303162d6,Normal
1,Swamp,1c590ebb-1e3a-4861-b8f2-aef9c4259efd,Normal
1,Tocasia's Onulet,e4abf2fb-f78a-4e75-b46f-524d3d7405db,Normal
1,Hero of the Dunes,9c6c72d5-f08e-4e46-a5cb-26d1fc0a71c8,Normal
1,Blast Zone,f9376380-8661-4ac6-bd7a-f5d3606f678a,Foil
1,Recommission,2a64e330-1257-4ec3-9a75-889cdcac3ade,Normal
1,Scrapwork Rager,e28de770-7975-4aa9-b656-e7dbe6bff290,Normal
1,Dreams of Steel and Oil,261ac92e-c61a-4c11-aa6a-9ae1cb703e5c,Normal
1,Demolition Field,d9c88546-13c9-4d7e-a618-cb2ccd1dbc0f,Normal
1,Thran Power Suit,17bfb8c5-9105-41e4-a58f-9c9eee32b18a,Normal
1,Misery's Shadow,514c5e77-9ecc-41c9-b104-76343601fafb,Normal
1,The Stasis Coffin,45537ac3-fc61-4253-a782-7f3e436b2aa6,Normal
1,Loran of the Third Path,59faa45d-868b-4bc7-934c-0e077642e129,Normal
1,Levitating Statue,9c0a17e2-e019-4686-9795-651da2d2955c,Normal
1,Ashnod's Harvester,58baa977-16c1-4983-8343-dbd65e98ddb7,Normal
1,Aeronaut's Wings,fcc65821-e4e7-471c-941c-9d3e25ae8bb9,Normal
