Quantity,Name,Scryfall ID,Printing
3,Mishra's Juggernaut,b30457c3-57df-4720-8b45-962f16316d17,Normal
2,Veteran's Powerblade,64d823e1-a7d6-4296-94c8-b8ba9b4daa38,Normal
2,Prison Sentence,76832ca8-95b2-4bc8-a191-9e2f50b77626,Normal
1,"Tawnos, the Toymaker",4f8cde13-e7c8-4781-acf0-56f522afe425,Normal
1,Arbalest Engineers,df343bf9-f535-42c7-a2d0-8adfd068b354,Normal
1,"Hajar, Loyal Bodyguard",5a0a2f82-57d3-45d8-b1c8-357883c62728,Normal
2,Gixian Infiltrator,c94a3317-7d1f-4f29-8353-180f1ab48d18,Normal
3,Thraxodemon,fc59ca3b-d417-4cf2-99a3-89816bf2bd09,Normal
2,Disfigure,aaa9c6f1-3938-448b-bdc3-22420c5984d3,Normal
2,Moment of Defiance,0e99fb27-a1e9-491f-ab2a-3ccb493168cb,Normal
2,Kill-Zone Acrobat,48f97974-bb65-46b0-a710-12fa4b9343ac,Normal
2,Battlefield Butcher,90c47e31-d4f6-46f3-94b7-1726c4a4a8eb,Normal
4,Machine Over Matter,d08eadf5-a86d-4e8d-b65d-79b4f88477b9,Normal
1,Curate,fe8c3fc8-c1cc-4dfc-94cb-1538bff9d09a,Normal
2,Koilos Roc,ebdbcb87-c6ea-477f-a560-c175d99e21b8,Normal
3,Desynchronize,46e101e5-2b20-48dd-aac4-15a3c32a7441,Normal
3,Weakstone's Subjugation,ef93ac79-8575-40f8-a222-63c2ffb30f60,Normal
2,Fallaji Archaeologist,b0eab397-25a6-4377-8e12-e8acef9675cf,Normal
2,Stern Lesson,3151caa2-10ed-4f30-83eb-cd1bd3f642ce,Normal
1,Goblin Blast-Runner,bd77c575-93a4-44ec-8940-adcbfc6e7a84,Normal
2,"Mishra, Excavation Prodigy",f5d02416-8578-40a5-bf31-d1ef9b8764f1,Normal
2,Tomakul Scrapsmith,d462d30c-9060-46d6-b5b3-cac476ee2ce1,Normal
2,Dwarven Forge-Chanter,bbd6a95a-11b9-43aa-b293-20a3102bae71,Normal
1,Sardian Cliffstomper,c1c42d56-5b0e-4624-8831-77280f8d56cf,Normal
1,Whirling Strike,b17950ae-43aa-4d03-a41e-726ca96eb1ba,Normal
2,Unleash Shell,1be13abf-b717-4122-ab2b-7e597a251d52,Normal
3,Penregon Strongbull,1c2deb43-7134-4f9c-b02d-78407a8986b1,Normal
2,Mishra's Domination,87c71fb1-a30b-4e0e-a6d6-4656cfff2da1,Normal
2,Emergency Weld,ec94d440-3922-4588-bf7b-d8670f81ef4e,Normal
2,Evangel of Synthesis,e8b60003-a987-49b0-a0f8-bb825c97da4d,Normal
2,Argothian Opportunist,b22586ce-efcc-4b20-83f9-c23b8eeaa88c,Normal
2,Epic Confrontation,35ba6c05-a4c2-422b-a4cb-852b3aef77a5,Normal
1,Shoot Down,20014a1c-197c-4e04-94b2-874886183e2f,Normal
2,Burrowing Razormaw,a7c8c73c-ee2e-4aa9-aa6c-42cf9d58d9cc,Normal
1,Gaea's Courser,1a0b94e5-d270-4820-83b9-1d346d378ff8,Normal
2,Tawnos's Tinkering,acbd975d-52f8-4fba-bf97-b8837413edd8,Normal
2,Powerstone Engineer,2901c5f6-5d83-437d-b434-d9beb115dd82,Normal
1,Calamity's Wake,013bed2b-25db-4dfc-9283-e80c9ac6c841,Normal
4,Citanul Stalwart,a842a945-21d9-432c-b970-6da65b16f309,Normal
1,Survivor of Korlis,817bcc8d-a5b7-448c-a3eb-825dc65944ec,Normal
4,Warlord's Elite,1873cc9e-30b6-498e-b008-9d11a8bbf9b9,Normal
2,Perimeter Patrol,d4719bc1-4c27-45d8-89f7-8c76ccf946d2,Normal
3,Fog of War,37096c19-32c9-448a-94e9-f5fe2d74e3a3,Normal
1,Teething Wurmlet,f6f19007-b501-44e6-8f86-51493dc69da3,Normal
1,Blanchwood Armor,e41c0a68-53be-4905-8ed3-79b4782dfd6e,Normal
1,Audacity,40b0813a-38cf-4a07-81d6-91d24af8b549,Normal
